type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,avg_test_loss
mlp,1,10,121,10,0,10,sum,False,10000,1000,1000,27.5835,15.051777839660645,0.0,55.0,27.0,45.0,1.7536474466323853,27.887,15.144775390625,0.0,55.0,28.0,10.0,1.768372893333435,27.492,15.18940258026123,0.0,55.0,27.0,32.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,sum-results.csv,mse,84,4.51360252478121e-05,7.5917082575927e-07,5.876372437541022e-07
sorted_mlp,1,10,121,10,0,10,sum,False,10000,1000,1000,27.5835,15.051777839660645,0.0,55.0,27.0,45.0,1.7536474466323853,27.887,15.144775390625,0.0,55.0,28.0,10.0,1.768372893333435,27.492,15.18940258026123,0.0,55.0,27.0,32.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,sum-results.csv,mse,103,0.00016266391249790765,9.619961956275347e-05,0.00010028756934588046
pna,1,10,141,10,0,10,sum,False,10000,1000,1000,27.5835,15.051777839660645,0.0,55.0,27.0,45.0,1.7536474466323853,27.887,15.144775390625,0.0,55.0,28.0,10.0,1.768372893333435,27.492,15.18940258026123,0.0,55.0,27.0,32.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,sum-results.csv,mse,243,0.06599571415857905,0.06079999008215964,0.06496201944537461
small_set_transformer,1,10,37953,10,0,10,sum,False,10000,1000,1000,27.5835,15.051777839660645,0.0,55.0,27.0,45.0,1.7536474466323853,27.887,15.144775390625,0.0,55.0,28.0,10.0,1.768372893333435,27.492,15.18940258026123,0.0,55.0,27.0,32.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,sum-results.csv,mse,41,0.016036667901826843,0.0005259140270936769,0.0005885026894247858
deepsets_mlp_sum,1,10,251,10,0,10,sum,True,10000,1000,1000,27.2684,16.072751998901367,0.0,81.0,26.0,10.0,1.7441093921661377,27.164,16.3602294921875,0.0,71.0,26.0,10.0,1.7379363775253296,27.284,16.581836700439453,0.0,71.0,25.0,9.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,sum-results.csv,mse,97,9.084575661426139e-06,4.2544340850270146e-07,4.600189935644039e-07
deepsets_mlp_max,1,10,251,10,0,10,sum,True,10000,1000,1000,27.2684,16.072751998901367,0.0,81.0,26.0,10.0,1.7441093921661377,27.164,16.3602294921875,0.0,71.0,26.0,10.0,1.7379363775253296,27.284,16.581836700439453,0.0,71.0,25.0,9.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,sum-results.csv,mse,38,120.55348730390998,130.5898494720459,131.12119150161743
deepsets_mlp_fspool,1,10,361,10,0,10,sum,True,10000,1000,1000,27.2684,16.072751998901367,0.0,81.0,26.0,10.0,1.7441093921661377,27.164,16.3602294921875,0.0,71.0,26.0,10.0,1.7379363775253296,27.284,16.581836700439453,0.0,71.0,25.0,9.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,sum-results.csv,mse,144,0.00014602913060185924,3.4683940981494743e-06,3.4901447918400663e-06
mlp,1,10,121,10,0,10,sum,True,10000,1000,1000,27.2684,16.072751998901367,0.0,81.0,26.0,10.0,1.7441093921661377,27.164,16.3602294921875,0.0,71.0,26.0,10.0,1.7379363775253296,27.284,16.581836700439453,0.0,71.0,25.0,9.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,sum-results.csv,mse,149,9.331903291055439e-05,3.629337959054624e-07,3.9033842824665044e-07
sorted_mlp,1,10,121,10,0,10,sum,True,10000,1000,1000,27.2684,16.072751998901367,0.0,81.0,26.0,10.0,1.7441093921661377,27.164,16.3602294921875,0.0,71.0,26.0,10.0,1.7379363775253296,27.284,16.581836700439453,0.0,71.0,25.0,9.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,sum-results.csv,mse,108,1.8649314034493126e-05,2.914713416402037e-06,3.793567401544351e-06
pna,1,10,141,10,0,10,sum,True,10000,1000,1000,27.2684,16.072751998901367,0.0,81.0,26.0,10.0,1.7441093921661377,27.164,16.3602294921875,0.0,71.0,26.0,10.0,1.7379363775253296,27.284,16.581836700439453,0.0,71.0,25.0,9.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,sum-results.csv,mse,151,0.10461656901107472,0.10644974140450358,0.09838635241612792
