type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,avg_test_loss
deepsets_mlp_fspool,1,10,361,10,0,10,mean,True,10000,1000,1000,5.0004163,1.7154375314712524,0.0,10.0,5.0,5.0,1.7441093921661377,5.015339,1.775356650352478,0.0,10.0,5.0,4.0,1.7379363775253296,5.0161953,1.7514234781265259,0.0,10.0,5.0,4.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,min-results.csv,mse,136,0.15274376606651743,0.1513992864638567,0.26038702903315425
mlp,1,10,121,10,0,10,mean,True,10000,1000,1000,5.0004163,1.7154375314712524,0.0,10.0,5.0,5.0,1.7441093921661377,5.015339,1.775356650352478,0.0,10.0,5.0,4.0,1.7379363775253296,5.0161953,1.7514234781265259,0.0,10.0,5.0,4.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,min-results.csv,mse,236,0.2474358990598636,0.28183902613818645,0.27461854135617614
sorted_mlp,1,10,121,10,0,10,mean,True,10000,1000,1000,5.0004163,1.7154375314712524,0.0,10.0,5.0,5.0,1.7441093921661377,5.015339,1.775356650352478,0.0,10.0,5.0,4.0,1.7379363775253296,5.0161953,1.7514234781265259,0.0,10.0,5.0,4.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,min-results.csv,mse,197,0.5716866681909865,0.6240612585097551,0.6775630377233028
pna,1,10,141,10,0,10,mean,True,10000,1000,1000,5.0004163,1.7154375314712524,0.0,10.0,5.0,5.0,1.7441093921661377,5.015339,1.775356650352478,0.0,10.0,5.0,4.0,1.7379363775253296,5.0161953,1.7514234781265259,0.0,10.0,5.0,4.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,min-results.csv,mse,84,9.80138973978787e-05,6.774120265617967e-05,6.406028865058033e-05
small_set_transformer,1,10,37953,10,0,10,mean,True,10000,1000,1000,5.0004163,1.7154375314712524,0.0,10.0,5.0,5.0,1.7441093921661377,5.015339,1.775356650352478,0.0,10.0,5.0,4.0,1.7379363775253296,5.0161953,1.7514234781265259,0.0,10.0,5.0,4.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,min-results.csv,mse,26,0.5635315255754313,0.5915111489593983,0.6384609937667847
deepsets_mlp_sum,1,10,251,10,0,10,mean,False,10000,1000,1000,4.9992805,1.5102912187576294,0.0,10.0,5.0,5.0,1.7441093921661377,4.933714,1.5322868824005127,0.0,10.0,5.0,5.0,1.7379363775253296,5.077433,1.5214424133300781,0.0,10.0,5.0,5.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,min-results.csv,mse,117,0.018249624901136775,0.013421694311546162,0.014933331054635346
deepsets_mlp_max,1,10,251,10,0,10,mean,False,10000,1000,1000,4.9992805,1.5102912187576294,0.0,10.0,5.0,5.0,1.7441093921661377,4.933714,1.5322868824005127,0.0,10.0,5.0,5.0,1.7379363775253296,5.077433,1.5214424133300781,0.0,10.0,5.0,5.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,min-results.csv,mse,60,0.18390663366788512,0.1912199081853032,0.1800732472911477
deepsets_mlp_fspool,1,10,361,10,0,10,mean,False,10000,1000,1000,4.9992805,1.5102912187576294,0.0,10.0,5.0,5.0,1.7441093921661377,4.933714,1.5322868824005127,0.0,10.0,5.0,5.0,1.7379363775253296,5.077433,1.5214424133300781,0.0,10.0,5.0,5.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,min-results.csv,mse,85,0.17507122505669762,0.1349062464432791,0.14147568366024643
mlp,1,10,121,10,0,10,mean,False,10000,1000,1000,4.9992805,1.5102912187576294,0.0,10.0,5.0,5.0,1.7441093921661377,4.933714,1.5322868824005127,0.0,10.0,5.0,5.0,1.7379363775253296,5.077433,1.5214424133300781,0.0,10.0,5.0,5.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,min-results.csv,mse,139,0.26109547792061877,0.2101039602421224,0.20367939257994294
sorted_mlp,1,10,121,10,0,10,mean,False,10000,1000,1000,4.9992805,1.5102912187576294,0.0,10.0,5.0,5.0,1.7441093921661377,4.933714,1.5322868824005127,0.0,10.0,5.0,5.0,1.7379363775253296,5.077433,1.5214424133300781,0.0,10.0,5.0,5.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,min-results.csv,mse,75,0.7518501010290377,0.6756762396544218,0.7244028970599174
