type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_label_entropy,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_label_entropy,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_label_entropy,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,avg_test_loss
sorted_mlp,1,10,3153,10,-100,100,desperate_student_3_tuple,True,10000,1000,1000,-4.513059616088867,9.253870010375977,-84.86302185058594,4.595153331756592,-2.2634923458099365,4.189680099487305,20.693492865722284,1.7536474466323853,-4.581649303436279,9.024402618408203,-82.99349212646484,4.591831207275391,-2.5212254524230957,4.189680099487305,16.097857549725294,1.768372893333435,-4.3268656730651855,9.33848762512207,-63.743492126464844,4.591831207275391,-1.89459228515625,4.189680099487305,15.943096625814913,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,31,16.04796214923737,16.60774952173233,18.42978286743164,2.622239351272583,1.5227415561676025,33.26174545288086,1.371303677558899,0.7886670672620758,18.35793709754944
sorted_mlp,1,10,3153,10,-100,100,desperate_student_4_tuple,True,10000,1000,1000,-1.2586768865585327,6.837418079376221,-63.93666458129883,4.590157985687256,0.7820438742637634,4.302468776702881,19.784513728664365,1.7536474466323853,-1.4349937438964844,6.889420509338379,-52.84657669067383,4.587666988372803,0.6837325692176819,4.302468776702881,15.814639626876097,1.768372893333435,-0.8727447986602783,6.205984592437744,-34.855220794677734,4.587666988372803,1.0638151168823242,4.302468776702881,15.475910776916322,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,42,9.277950874559439,9.87764185667038,8.355179786682129,1.8676725625991821,1.0732454061508179,16.167699813842773,2.529660224914551,0.783062578014392,8.542227566242218
mlp,1,10,3153,10,-100,100,desperate_student_1_tuple,True,10000,1000,1000,-29.18798065185547,16.464067459106445,-95.39482879638672,4.605170249938965,-28.229591369628906,-6.284829616546631,22.33533171075559,1.7536474466323853,-28.663358688354492,16.29711151123047,-95.39482879638672,4.595170021057129,-28.447330474853516,-37.64482879638672,17.462780835581704,1.768372893333435,-29.096498489379883,16.952016830444336,-95.39482879638672,4.595170021057129,-28.28483009338379,-11.394829750061035,17.50819559170465,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,37,33.30950601541313,40.84460806846619,38.928016662597656,4.788609027862549,3.895230293273926,27.29552459716797,1.2718666791915894,0.8645373595241667,39.317500591278076
mlp,1,10,3153,10,-100,100,desperate_student_2_tuple,True,10000,1000,1000,-11.384041786193848,12.652153015136719,-88.25012969970703,4.600157737731934,-9.268468856811523,3.9069979190826416,21.855500703982475,1.7536474466323853,-11.19681167602539,12.352303504943848,-93.97486877441406,4.595170021057129,-9.50273323059082,3.9069979190826416,16.64653150821105,1.768372893333435,-11.7045259475708,13.637917518615723,-93.97486877441406,4.595170021057129,-9.246463775634766,3.9069979190826416,16.701676787838213,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,80,26.690334283622207,36.889907240867615,38.163543701171875,4.236804962158203,2.9856009483337402,36.53771209716797,2.8356499671936035,0.7948117143102795,37.984339118003845
mlp,1,10,3153,10,-100,100,desperate_student_3_tuple,True,10000,1000,1000,-4.513059616088867,9.253870010375977,-84.86302185058594,4.595153331756592,-2.2634923458099365,4.189680099487305,20.693492865722284,1.7536474466323853,-4.581649303436279,9.024402618408203,-82.99349212646484,4.591831207275391,-2.5212254524230957,4.189680099487305,16.097857549725294,1.768372893333435,-4.3268656730651855,9.33848762512207,-63.743492126464844,4.591831207275391,-1.89459228515625,4.189680099487305,15.943096625814913,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,32,26.77313067806754,28.82767140865326,31.827957153320312,3.573587417602539,2.217815637588501,37.669189453125,2.2718849182128906,0.635031185544816,31.385813176631927
mlp,1,10,3153,10,-100,100,desperate_student_4_tuple,True,10000,1000,1000,-1.2586768865585327,6.837418079376221,-63.93666458129883,4.590157985687256,0.7820438742637634,4.302468776702881,19.784513728664365,1.7536474466323853,-1.4349937438964844,6.889420509338379,-52.84657669067383,4.587666988372803,0.6837325692176819,4.302468776702881,15.814639626876097,1.768372893333435,-0.8727447986602783,6.205984592437744,-34.855220794677734,4.587666988372803,1.0638151168823242,4.302468776702881,15.475910776916322,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,20,16.74417340831392,18.486646115779877,15.941404342651367,2.7653608322143555,1.9291836023330688,20.507431030273438,3.4975223541259766,0.5860906279495119,15.795730531215668
deepsets_mlp_fspool,1,10,6425,10,-100,100,desperate_student_1_tuple,True,10000,1000,1000,-29.18798065185547,16.464067459106445,-95.39482879638672,4.605170249938965,-28.229591369628906,-6.284829616546631,22.33533171075559,1.7536474466323853,-28.663358688354492,16.29711151123047,-95.39482879638672,4.595170021057129,-28.447330474853516,-37.64482879638672,17.462780835581704,1.768372893333435,-29.096498489379883,16.952016830444336,-95.39482879638672,4.595170021057129,-28.28483009338379,-11.394829750061035,17.50819559170465,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,27,15.626439708053686,16.03206118941307,14.394810676574707,2.561734914779663,1.8487801551818848,26.01413345336914,0.8166170120239258,0.9499085985650666,14.727316081523895
deepsets_mlp_fspool,1,10,6425,10,-100,100,desperate_student_2_tuple,True,10000,1000,1000,-11.384041786193848,12.652153015136719,-88.25012969970703,4.600157737731934,-9.268468856811523,3.9069979190826416,21.855500703982475,1.7536474466323853,-11.19681167602539,12.352303504943848,-93.97486877441406,4.595170021057129,-9.50273323059082,3.9069979190826416,16.64653150821105,1.768372893333435,-11.7045259475708,13.637917518615723,-93.97486877441406,4.595170021057129,-9.246463775634766,3.9069979190826416,16.701676787838213,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,27,1.2668322666435485,1.1961402036249638,1.5427604913711548,0.7213006019592285,0.4625239372253418,17.234619140625,0.3134377598762512,0.9917052674073564,1.58785280585289
deepsets_mlp_fspool,1,10,6425,10,-100,100,desperate_student_3_tuple,True,10000,1000,1000,-4.513059616088867,9.253870010375977,-84.86302185058594,4.595153331756592,-2.2634923458099365,4.189680099487305,20.693492865722284,1.7536474466323853,-4.581649303436279,9.024402618408203,-82.99349212646484,4.591831207275391,-2.5212254524230957,4.189680099487305,16.097857549725294,1.768372893333435,-4.3268656730651855,9.33848762512207,-63.743492126464844,4.591831207275391,-1.89459228515625,4.189680099487305,15.943096625814913,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,33,0.6358831251502797,0.6603260366246104,0.6267275214195251,0.4775257408618927,0.2872811555862427,5.277202606201172,0.21727560460567474,0.9928133622765579,0.6190382596105337
deepsets_mlp_fspool,1,10,6425,10,-100,100,desperate_student_4_tuple,True,10000,1000,1000,-1.2586768865585327,6.837418079376221,-63.93666458129883,4.590157985687256,0.7820438742637634,4.302468776702881,19.784513728664365,1.7536474466323853,-1.4349937438964844,6.889420509338379,-52.84657669067383,4.587666988372803,0.6837325692176819,4.302468776702881,15.814639626876097,1.768372893333435,-0.8727447986602783,6.205984592437744,-34.855220794677734,4.587666988372803,1.0638151168823242,4.302468776702881,15.475910776916322,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,39,0.5039349941501192,0.37313705030828714,0.2485262006521225,0.2934146523475647,0.17611253261566162,5.435459136962891,0.24143816530704498,0.9935471612784256,0.24966763891279697
small_set_transformer,1,10,37953,10,-100,100,desperate_student_1_tuple,True,10000,1000,1000,-29.18798065185547,16.464067459106445,-95.39482879638672,4.605170249938965,-28.229591369628906,-6.284829616546631,22.33533171075559,1.7536474466323853,-28.663358688354492,16.29711151123047,-95.39482879638672,4.595170021057129,-28.447330474853516,-37.64482879638672,17.462780835581704,1.768372893333435,-29.096498489379883,16.952016830444336,-95.39482879638672,4.595170021057129,-28.28483009338379,-11.394829750061035,17.50819559170465,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,8,12.946532387642344,6.340792462229729,6.11996603012085,1.7802635431289673,1.3470134735107422,19.35336685180664,0.5921421647071838,0.9787035970405962,6.3507702350616455
small_set_transformer,1,10,37953,10,-100,100,desperate_student_2_tuple,True,10000,1000,1000,-11.384041786193848,12.652153015136719,-88.25012969970703,4.600157737731934,-9.268468856811523,3.9069979190826416,21.855500703982475,1.7536474466323853,-11.19681167602539,12.352303504943848,-93.97486877441406,4.595170021057129,-9.50273323059082,3.9069979190826416,16.64653150821105,1.768372893333435,-11.7045259475708,13.637917518615723,-93.97486877441406,4.595170021057129,-9.246463775634766,3.9069979190826416,16.701676787838213,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,20,7.237550028570139,5.011493682861328,5.10333776473999,1.2819942235946655,0.8249704241752625,29.835594177246094,0.5475157499313354,0.97256163854826,5.570062421262264
small_set_transformer,1,10,37953,10,-100,100,desperate_student_3_tuple,True,10000,1000,1000,-4.513059616088867,9.253870010375977,-84.86302185058594,4.595153331756592,-2.2634923458099365,4.189680099487305,20.693492865722284,1.7536474466323853,-4.581649303436279,9.024402618408203,-82.99349212646484,4.591831207275391,-2.5212254524230957,4.189680099487305,16.097857549725294,1.768372893333435,-4.3268656730651855,9.33848762512207,-63.743492126464844,4.591831207275391,-1.89459228515625,4.189680099487305,15.943096625814913,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,18,10.666182603046392,7.674516826868057,13.484667778015137,1.8755024671554565,0.9793473482131958,33.388763427734375,0.7503429055213928,0.8453723110871801,13.240290865302086
small_set_transformer,1,10,37953,10,-100,100,desperate_student_4_tuple,True,10000,1000,1000,-1.2586768865585327,6.837418079376221,-63.93666458129883,4.590157985687256,0.7820438742637634,4.302468776702881,19.784513728664365,1.7536474466323853,-1.4349937438964844,6.889420509338379,-52.84657669067383,4.587666988372803,0.6837325692176819,4.302468776702881,15.814639626876097,1.768372893333435,-0.8727447986602783,6.205984592437744,-34.855220794677734,4.587666988372803,1.0638151168823242,4.302468776702881,15.475910776916322,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,28,2.8587142851701968,2.6902645379304886,2.703932523727417,0.9733841419219971,0.59128338098526,21.025615692138672,1.1243239641189575,0.9297939528704121,2.9714771434664726
