type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_label_entropy,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_label_entropy,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_label_entropy,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,test_accuracy,test_balanced_accuracy,test_f1_weighted,test_precision,test_recall,avg_test_loss
mlp,1,8,19253,128,-100,100,mode,True,10000,1000,1000,112.7385,48.8454493044132,0,200,116.0,102,7.408094859505291,3.919740676879883,113.671,48.71066370929471,0,200,115.0,101,8.348340331721387,3.9290590286254883,112.789,48.59346127824195,0,200,115.0,106,8.329985739260012,3.9267334938049316,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,16,3.5501682406381976,5.430222421884537,0.003,0.0025709219858156026,0.004517857142857143,0.01933333333333333,0.003,5.412478357553482
mlp,1,8,25653,256,-100,100,mode,True,10000,1000,1000,112.5426,51.05134851539183,0,200,117.0,102,7.522458961142519,4.585209369659424,109.775,51.561345744656435,0,200,117.0,101,8.462723408976789,4.595020294189453,111.91,49.95517891069953,0,200,115.0,101,8.456443181242909,4.592075824737549,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,15,3.1715233947396455,5.422940105199814,0.001,0.0008635578583765112,0.0010909090909090907,0.0012000000000000001,0.001,5.428257435560226
mlp,1,8,38453,512,-100,100,mode,True,10000,1000,1000,111.0085,52.973863628680135,0,200,117.0,101,7.586884530514437,5.26270055770874,110.213,52.119762384339396,0,200,117.5,108,8.536601845340524,5.272765636444092,112.366,53.59861979566265,0,200,118.5,102,8.616079932433728,5.270244598388672,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,15,2.458909975147542,5.379255175590515,0.008,0.010484657720838626,0.006589778413307826,0.010296522366522365,0.008,5.381493479013443
mlp,1,8,64053,1024,-100,100,mode,True,10000,1000,1000,109.5875,54.62546973482242,0,200,116.0,104,7.652395678953686,5.946806907653809,106.983,53.58248511407436,0,200,114.0,108,8.65366103172152,5.957937240600586,107.365,54.21128826176334,0,200,115.0,125,8.621776709789302,5.954519748687744,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,15,1.6322539599244856,5.424943178892136,0.001,0.00046382189239332097,0.0010999999999999998,0.0012222222222222222,0.001,5.430967539548874
mlp,1,8,3104,8,-100,100,contains_even,True,10000,1000,1000,0.4306,0.49516021649563086,0,1,0.0,0,0.9859721910594683,1.5940666198730469,0.44,0.4963869458396343,0,1,0.0,0,0.9887201314390118,1.599164605140686,0.438,0.49614110895994107,0,1,0.0,0,0.9880139972642197,1.5947586297988892,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,38,0.6677630742844085,0.6828301399946213,0.543,0.522388241602886,0.53106760655329,0.531532142034601,0.543,0.678800456225872
mlp,1,8,3504,16,-100,100,contains_even,True,10000,1000,1000,0.4637,0.49868056910210556,0,1,0.0,0,0.996106797740983,2.0868184566497803,0.463,0.49862912068991716,0,1,0.0,0,0.995165920436754,2.0923960208892822,0.476,0.49942366784124287,0,1,0.0,0,0.9974524241262026,2.0889389514923096,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,23,0.652897303134513,0.6850450970232487,0.511,0.5014513438963372,0.4909181233563899,0.5028396712912133,0.511,0.6973121650516987
mlp,1,8,4304,32,-100,100,contains_even,True,10000,1000,1000,0.4783,0.49952888805353385,0,1,0.0,0,0.9985525758920393,2.6498355865478516,0.48,0.49959983987187184,0,1,0.0,0,0.9979595679909182,2.6514930725097656,0.487,0.49983097142934235,0,1,0.0,0,0.9986250142150694,2.6505205631256104,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,22,0.5733027564911157,0.7081390656530857,0.497,0.4934075434994056,0.4872843484285187,0.49325794523632205,0.497,0.7203409150242805
mlp,1,8,5904,64,-100,100,contains_even,True,10000,1000,1000,0.4866,0.49982040774662256,0,1,0.0,0,0.9993933730954585,3.2634477615356445,0.486,0.4998039615689336,0,1,0.0,0,0.9985472453309616,3.262950897216797,0.496,0.4999839997439918,0,1,0.0,0,0.9990656518671805,3.26251220703125,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,18,0.4807087864131084,0.7289207056164742,0.486,0.486255120327701,0.48548148148148146,0.4862244071717756,0.486,0.7373392693698406
mlp,1,8,9104,128,-100,100,contains_even,True,10000,1000,1000,0.4906,0.49991163219113044,0,1,0.0,0,0.999656515041087,3.909062147140503,0.489,0.49987898535545583,0,1,0.0,0,0.9987632631201516,3.9083497524261475,0.494,0.4999639987039066,0,1,0.0,0,0.9990080572620664,3.9059760570526123,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,17,0.3074989790973238,0.732779536396265,0.503,0.5032524683554431,0.5027986697006827,0.5033313885694365,0.503,0.7321816347539425
mlp,1,8,15504,256,-100,100,contains_even,True,10000,1000,1000,0.4918,0.49993275547817423,0,1,0.0,0,0.9997174486130099,4.574507713317871,0.493,0.49995099759876466,0,1,0.0,0,0.9989706199483201,4.5721259117126465,0.498,0.4999959999839998,0,1,0.0,0,0.9991002078959381,4.571247577667236,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,15,0.1816007749977673,0.7425387762486935,0.501,0.5009800156802509,0.5009895204865038,0.5009880588058806,0.501,0.7450966536998749
