type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_label_entropy,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_label_entropy,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_label_entropy,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,avg_test_loss
mlp,1,8,28253,512,-100,100,cardinality,True,10000,1000,1000,254.23460388183594,147.74658203125,1.0,512.0,253.0,63.0,9.347179370662602,5.2461652755737305,256.697998046875,150.7436065673828,1.0,512.0,253.0,42.0,11.842478741679681,5.256960391998291,250.9010009765625,144.64195251464844,2.0,512.0,247.0,398.0,11.629865136458776,5.234511375427246,500,15,1e-09,0.001,64,999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,23,152.57574764178815,2055.684989929199,1580.5064697265625,27.28863525390625,16.67626190185547,169.1746826171875,0.12853524088859558,0.924454641878376,1580.820198059082
mlp,1,8,53853,1024,-100,100,cardinality,True,10000,1000,1000,507.966796875,295.48583984375,1.0,1024.0,505.0,125.0,10.795077456755266,5.930337429046631,512.8930053710938,301.48358154296875,1.0,1023.0,505.0,95.0,14.139242499400135,5.941123962402344,501.2860107421875,289.27618408203125,3.0,1023.0,494.0,795.0,14.042350081362137,5.918388366699219,500,15,1e-09,0.001,64,999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,21,1288.3366001396423,14247.122680664062,13350.03125,75.01828002929688,40.5472412109375,476.81707763671875,0.16532044112682343,0.840464636997906,13434.235107421875
mlp,1,8,3053,8,-100,100,longest_seq_length,True,10000,1000,1000,1.1404999494552612,0.3613305389881134,1.0,3.0,1.0,1.0,0.603659167685414,1.5997881889343262,1.13100004196167,0.34617769718170166,1.0,3.0,1.0,1.0,0.5794759296665827,1.594311237335205,1.1330000162124634,0.34541425108909607,1.0,3.0,1.0,1.0,0.5825806503798119,1.567077875137329,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,54,0.11132834683273249,0.11080081854015589,0.11179347336292267,0.20296752452850342,0.09432423114776611,1.8459486961364746,0.15031886100769043,0.06300785385230878,0.11101589305326343
mlp,1,8,3453,16,-100,100,longest_seq_length,True,10000,1000,1000,1.4474999904632568,0.5882548689842224,1.0,5.0,1.0,1.0,1.1852932731183141,2.0936684608459473,1.468999981880188,0.5924854278564453,1.0,4.0,1.0,1.0,1.2134461562375969,2.084343671798706,1.437000036239624,0.5865415930747986,1.0,4.0,1.0,1.0,1.1874737201569803,2.0506536960601807,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,41,0.2028293887710875,0.2435512663796544,0.2634677588939667,0.3749940097332001,0.29953813552856445,2.630303382873535,0.26339802145957947,0.23417427235640997,0.2622091583907604
mlp,1,8,4253,32,-100,100,longest_seq_length,True,10000,1000,1000,1.9716999530792236,0.8483508229255676,1.0,7.0,2.0,2.0,1.7256963284221787,2.6590332984924316,1.940999984741211,0.8375672698020935,1.0,5.0,2.0,2.0,1.7141756994693726,2.645707130432129,1.9329999685287476,0.8357696533203125,1.0,6.0,2.0,2.0,1.7224998765358353,2.6042444705963135,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,23,0.2764610722186459,0.38846454583108425,0.3845217823982239,0.46494996547698975,0.3567604422569275,2.5583372116088867,0.2521781623363495,0.44951216638430225,0.3857246357947588
mlp,1,8,5853,64,-100,100,longest_seq_length,True,10000,1000,1000,2.9303998947143555,1.3890845775604248,1.0,11.0,3.0,3.0,2.43470848443697,3.272526979446411,2.936000108718872,1.4205294847488403,1.0,9.0,3.0,3.0,2.4818062634558955,3.259382724761963,2.8320000171661377,1.3452792167663574,1.0,8.0,3.0,3.0,2.406537222983922,3.2113852500915527,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,18,0.42609578997466213,0.9725143853574991,0.7783806324005127,0.6635848879814148,0.5077690482139587,4.764506816864014,0.27009686827659607,0.5699022282395472,0.7775372974574566
mlp,1,8,9053,128,-100,100,longest_seq_length,True,10000,1000,1000,4.954100131988525,2.7259116172790527,1.0,26.0,5.0,3.0,3.376056769451668,3.9188179969787598,4.916999816894531,2.7397282123565674,1.0,17.0,5.0,3.0,3.4248875076135787,3.9052016735076904,4.800000190734863,2.677685499191284,1.0,15.0,4.0,4.0,3.3866001658779554,3.8526508808135986,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,20,0.5545901749164436,2.510546527802944,2.4872851371765137,1.1356701850891113,0.7984107732772827,6.279203414916992,0.25933170318603516,0.653098341585991,2.4782497733831406
mlp,1,8,15453,256,-100,100,longest_seq_length,True,10000,1000,1000,10.552300453186035,7.34889554977417,1.0,60.0,9.0,3.0,4.700184168438654,4.585146903991699,10.467000007629395,7.13616943359375,1.0,37.0,9.0,3.0,4.753774827976976,4.570905685424805,10.227999687194824,7.473019123077393,1.0,46.0,9.0,2.0,4.802141853779453,4.513640880584717,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,17,1.5709196993499805,13.337132394313812,15.644035339355469,2.6158266067504883,1.6133441925048828,24.346431732177734,0.2886538803577423,0.719871946661719,15.934866905212402
mlp,1,8,28253,512,-100,100,longest_seq_length,True,10000,1000,1000,34.898399353027344,33.05067825317383,1.0,245.0,24.0,4.0,6.646664233202067,5.262914657592773,34.6609992980957,33.22754669189453,1.0,229.0,23.0,2.0,7.1849316891888115,5.2481865882873535,33.40700149536133,33.053524017333984,1.0,264.0,22.0,3.0,7.1034694419446085,5.188929557800293,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,24,15.688149850079968,271.23598861694336,282.5075378417969,9.748941421508789,4.694479942321777,120.59550476074219,0.34008243680000305,0.7414202485946255,281.46328926086426
mlp,1,8,53853,1024,-100,100,longest_seq_length,True,10000,1000,1000,211.75729370117188,248.08934020996094,1.0,1024.0,105.0,3.0,9.764807495460797,5.947558879852295,210.9010009765625,244.80615234375,1.0,1022.0,105.5,5.0,11.55792290620519,5.93290901184082,208.21499633789062,252.03126525878906,1.0,1016.0,97.5,2.0,11.457511853575122,5.871810436248779,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,58,554.6376087164423,14173.508514404297,15791.466796875,68.7155532836914,20.85018539428711,646.9384765625,0.9027186036109924,0.7513928329693531,15719.134887695312
