label,type,max_set_size_mean,test_balanced_accuracy_mean,test_f1_weighted_mean,test_precision_mean,test_recall_mean
mode,pna,128,0.007439577173384721,0.006508521939424999,0.0063938643090994006,0.011
contains_even,deepsets_mlp_sum,256,0.49596756981032303,0.3649503382364719,0.3642863928186616,0.4986
contains_even,deepsets_mlp_fspool,256,0.49717474304396336,0.4073228528236769,0.45159935539424323,0.4984
contains_even,mlp,256,0.5112520730762669,0.5062116846943959,0.5120501777300003,0.511
contains_even,sorted_mlp,256,0.49931555165102043,0.4797218817426452,0.4983854124258832,0.4968
contains_even,small_set_transformer,256,0.7530788646685164,0.7418486941746676,0.8154084258408936,0.7562
contains_even,pna,256,0.4977785044085926,0.4021440829162639,0.44582313434518833,0.49960000000000004
mode,deepsets_mlp_sum,256,0.0059443998344061,0.00334844917238718,0.00238361478877992,0.0106
mode,deepsets_mlp_fspool,256,0.00890898307569242,0.0037221444036207403,0.00278009871911248,0.0104
mode,mlp,256,0.00278069386715756,0.0017550292844409998,0.00315532157051392,0.0021999999999999997
mode,sorted_mlp,256,0.00783741343107764,0.0028812210742162,0.00230779111737294,0.0084
mode,small_set_transformer,256,0.01146884853275012,0.0086727141375259,0.0188366857695818,0.0152
mode,pna,256,0.0081156877027384,0.00742093311485686,0.00958062272725074,0.012
contains_even,deepsets_mlp_sum,512,0.49713284919604356,0.3587775853566752,0.2996017737262439,0.49820000000000003
contains_even,deepsets_mlp_fspool,512,0.4931496356953547,0.3765351086579926,0.34109189666886414,0.4948
contains_even,mlp,512,0.5014604646086527,0.5009347103319504,0.5015801493339354,0.5024
contains_even,sorted_mlp,512,0.5039773122467001,0.4247183452356616,0.5051244088616913,0.5014000000000001
contains_even,small_set_transformer,512,0.8719174767521306,0.8709275365285565,0.8937403752454731,0.8732
contains_even,pna,512,0.5085465224623784,0.44517850299484696,0.48459037902172775,0.5104
mode,deepsets_mlp_sum,512,0.00591634886074118,0.00059384122244434,0.00032361276698802656,0.0064
mode,deepsets_mlp_fspool,512,0.0051862521559879,0.00141512895778836,0.0012827395952419,0.0082
mode,mlp,512,0.00615741920685202,0.00350407326073564,0.00614100425848166,0.0046
mode,sorted_mlp,512,0.00690706781430922,0.0025916695416874197,0.00397658833743876,0.007200000000000001
mode,small_set_transformer,512,0.01188812474124214,0.0067681653423713,0.012041048432990541,0.014799999999999999
mode,pna,512,0.007757612289740701,0.00524725532366208,0.0070806804798008,0.0114
contains_even,deepsets_mlp_sum,1024,0.5,0.3411872153626505,0.25713020000000003,0.507
contains_even,deepsets_mlp_fspool,1024,0.5049448197792791,0.3774534810644196,0.31227998008278635,0.5118
contains_even,mlp,1024,0.5008718484705106,0.49487701607358164,0.5010177499324009,0.5014000000000001
contains_even,sorted_mlp,1024,0.5002380307869176,0.39051761215970127,0.4153338574965978,0.5002
contains_even,small_set_transformer,1024,0.9523749795697041,0.9528984070507116,0.9558326540577007,0.953
contains_even,pna,1024,0.5156653567018457,0.45344752439713243,0.5810823881133962,0.5176000000000001
mode,deepsets_mlp_sum,1024,0.00611691657275418,0.00046630974626469846,0.00029962173345008314,0.0052
mode,deepsets_mlp_fspool,1024,0.00442249775224534,0.00036258353962832,0.00019364478662836843,0.005
mode,mlp,1024,0.00387444500556286,0.0018071151658341999,0.0016544110487213403,0.003
mode,sorted_mlp,1024,0.0031957953378260002,0.0013967632963140203,0.00153178972759986,0.0036000000000000003
mode,small_set_transformer,1024,0.01415017460244756,0.00688147241384338,0.009283591112264419,0.0154
mode,pna,1024,0.0070874147259427,0.0023969689900391,0.0024631868482535,0.0094
