label,type,max_set_size_mean,test_mae_mean,test_max_error_mean,test_r2_mean
max,sorted_mlp,16,0.6703869938850403,50.65022354125976,0.9942334578583685
max,small_set_transformer,16,0.3833546698093414,23.42774896621704,0.9980334169223104
max,pna,16,0.1594547942280769,1.8189361572265625,0.9999616064459944
sum,deepsets_mlp_sum,16,0.3175541520118713,1.6498809814453126,0.9999935964479679
sum,deepsets_mlp_fspool,16,0.6669345796108246,6.6045166015625,0.9999630931728263
sum,sorted_mlp,16,0.5205841660499573,6.3599365234375,0.9999804965871899
sum,small_set_transformer,16,0.49015872478485106,2.11995849609375,0.9999855557767601
sum,pna,16,1.2066210389137269,26.190875244140624,0.9998699400456248
cardinality,deepsets_mlp_sum,32,0.03783523816382508,0.1565400123596191,0.9999522801537125
cardinality,deepsets_mlp_fspool,32,0.07093852609395976,0.6335176229476929,0.9998176915442503
