type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_label_entropy,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_label_entropy,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_label_entropy,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,test_accuracy,test_balanced_accuracy,test_f1_weighted,test_precision,test_recall,avg_test_loss
deepsets_mlp_fspool,1,8,17297,16,-100,100,mode,True,10000,1000,1000,115.4972,39.31495379826867,0,200,115.0,102,6.949414921246175,2.0844385623931885,117.782,38.78224433938809,0,200,116.0,101,7.807766169160834,2.0934879779815674,114.843,40.092522382608955,1,200,114.0,104,7.811508102691493,2.0792086124420166,500,15,1e-09,0.001,64,999,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,30,3.639918999530549,4.675039827823639,0.012,0.01702078534486505,0.007611921202596949,0.03793993986555338,0.012,4.685948491096497
deepsets_mlp_fspool,1,8,19089,32,-100,100,mode,True,10000,1000,1000,113.148,44.7469227545314,0,200,113.0,101,7.171372345299011,2.64734148979187,111.92,44.400918909409974,0,199,113.0,101,8.136629587170486,2.655341386795044,114.091,41.76686149329394,0,200,112.0,104,8.099471028471942,2.6367149353027344,500,15,1e-09,0.001,64,999,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,24,4.084453806490246,4.92659392952919,0.014,0.021540280050918348,0.007134590287481032,0.012143835378961236,0.014,4.928322434425354
deepsets_mlp_fspool,1,8,22673,64,-100,100,mode,True,10000,1000,1000,114.0579,46.19104185434661,0,200,116.0,101,7.293545871058045,3.2595133781433105,114.097,45.39805712803137,0,200,117.0,102,8.158359497354969,3.2679433822631836,114.716,45.49755316497801,0,200,116.0,101,8.212720404675341,3.2493245601654053,500,15,1e-09,0.001,64,999,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,27,4.334209652230268,5.022919654846191,0.012,0.012514538175913838,0.009150834195030145,0.011900516150516151,0.012,5.043865740299225
deepsets_mlp_fspool,1,8,29841,128,-100,100,mode,True,10000,1000,1000,113.8979,48.561536997813405,0,200,117.0,101,7.416780601879811,3.9042789936065674,113.177,48.38939626612426,0,200,117.0,107,8.439936627015504,3.9142637252807617,113.428,47.563061465805575,0,200,116.0,104,8.318460060850299,3.893270492553711,500,15,1e-09,0.001,64,999,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,30,4.689051139593042,5.17651093006134,0.009,0.012080200501253132,0.0049137149301855185,0.0044171884384168305,0.009,5.184427559375763
deepsets_mlp_fspool,1,8,44177,256,-100,100,mode,True,10000,1000,1000,111.7463,51.005348114781064,0,200,117.0,103,7.5261193135830196,4.569217205047607,112.377,50.62660240426963,0,200,117.5,105,8.434234224179999,4.5792436599731445,111.277,50.09095997283342,0,200,117.0,102,8.502624163594174,4.557127475738525,500,15,1e-09,0.001,64,999,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,30,5.034670451508487,5.236407935619354,0.011,0.007560815253122946,0.002863425465001818,0.001857381224801133,0.011,5.204570144414902
deepsets_mlp_fspool,1,8,72849,512,-100,100,mode,True,10000,1000,1000,111.3964,52.47523479737847,0,200,118.0,105,7.591274005871844,5.2461652755737305,111.623,52.38970195563247,0,200,118.0,109,8.53820326521869,5.256960391998291,113.698,51.413780215035736,0,200,118.0,112,8.57302018042893,5.234511375427246,500,15,1e-09,0.001,64,999,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,43,5.302684128850252,5.298021078109741,0.018,0.005050505050505051,0.0006365422396856582,0.00032399999999999996,0.018,5.297997534275055
deepsets_mlp_fspool,1,8,130193,1024,-100,100,mode,True,10000,1000,1000,109.3081,54.38824665669965,0,200,116.0,103,7.652325653983854,5.930337429046631,106.829,54.613402741451665,0,200,115.0,102,8.58124780895828,5.941123962402344,109.914,55.266306227212254,0,200,118.0,107,8.66362552648485,5.918388366699219,500,15,1e-09,0.001,64,999,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,35,5.306044309572485,5.300731509923935,0.003,0.006460875807609475,0.00027943279443710635,0.00015003992297214785,0.003,5.300527721643448
deepsets_mlp_fspool,1,8,6252,8,-100,100,contains_even,True,10000,1000,1000,0.4425,0.4966827458247367,0,1,0.0,0,0.9903523921035988,1.5939745903015137,0.434,0.49562485813364937,0,1,0.0,0,0.9865315188189681,1.6027216911315918,0.432,0.4953544185732071,0,1,0.0,0,0.9857551259822941,1.6301544904708862,500,15,1e-09,0.001,64,999,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,17,0.6820428988258602,0.6854669861495495,0.554,0.5480894627021388,0.5549606805154979,0.5562763636363636,0.554,0.6865436658263206
deepsets_mlp_fspool,1,8,7148,16,-100,100,contains_even,True,10000,1000,1000,0.476,0.49942366784124287,0,1,0.0,0,0.998249141375555,2.0866291522979736,0.455,0.49797088268291345,0,1,0.0,0,0.9932726078300496,2.0954275131225586,0.465,0.49877349568717055,0,1,0.0,0,0.9955813037371506,2.1275436878204346,500,15,1e-09,0.001,64,999,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,17,0.6871588796131225,0.6846952736377716,0.525,0.49192041000904435,0.3833479596904776,0.43347663139329806,0.525,0.6906031034886837
deepsets_mlp_fspool,1,8,8940,32,-100,100,contains_even,True,10000,1000,1000,0.4901,0.4999019803921564,0,1,0.0,0,0.9996286731362621,2.6492416858673096,0.47,0.49909918853871116,0,1,0.0,0,0.9965185076867847,2.661400318145752,0.487,0.49983097142934235,0,1,0.0,0,0.9986250142150694,2.6972789764404297,500,15,1e-09,0.001,64,999,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,18,0.6906192761508151,0.6894838958978653,0.51,0.498220797258947,0.38166076510773533,0.49064789801522624,0.51,0.6915532238781452
